id;category_id;app_id
1;1;1
2;1;2
3;1;3
4;1;4
5;1;5
6;1;6
7;1;7
8;1;8
9;1;9
10;1;10
11;1;11
12;1;12
13;1;13
14;1;14
15;1;15
16;1;16
17;1;17
18;1;18
19;1;19
20;1;20
21;1;21
22;1;22
23;1;23
24;1;24
25;1;25
26;1;26
27;1;27
28;1;28
29;1;29
30;1;30
31;1;31
32;1;32
33;1;33
34;1;34
35;1;35
36;1;36
37;1;37
38;1;38
39;1;39
40;1;40
41;1;41
42;1;42
43;1;43
44;1;44
45;1;45
46;1;46
47;1;47
48;1;48
49;1;49
50;2;50
51;2;51
52;2;52
53;2;53
54;2;54
55;2;55
56;2;56
57;2;57
58;2;58
59;2;59
60;2;60
61;2;61
62;2;62
63;2;63
64;2;64
65;2;65
66;2;66
67;2;67
68;2;68
69;2;69
70;2;70
71;2;71
72;2;72
73;2;73
74;2;74
75;2;75
76;2;76
77;2;77
78;2;78
79;2;79
80;2;80
81;2;81
82;2;82
83;2;83
84;2;84
85;2;85
86;2;86
87;2;87
88;2;88
89;2;89
90;2;90
91;2;91
92;2;92
93;2;93
94;2;94
95;2;95
96;2;96
97;2;97
98;2;98
99;3;99
100;3;100
101;3;101
102;3;102
103;3;103
104;3;104
105;3;105
106;3;106
107;3;107
108;3;108
109;3;109
110;3;110
111;3;111
112;3;112
113;3;113
114;3;114
115;3;115
116;3;116
117;3;117
118;3;118
119;3;119
120;3;120
121;3;121
122;3;122
123;3;123
124;3;124
125;3;125
126;3;126
127;3;127
128;3;128
129;3;129
130;3;130
131;3;131
132;3;132
133;3;133
134;3;134
135;3;135
136;3;136
137;3;137
138;3;138
139;3;139
140;4;140
141;4;141
142;4;142
143;4;143
144;4;144
145;4;145
146;4;146
147;4;147
148;4;148
149;4;149
150;4;150
151;4;151
152;4;152
153;4;153
154;4;154
155;4;155
156;4;156
157;4;157
158;4;158
159;4;159
160;4;160
161;4;161
162;4;162
163;4;163
164;4;164
165;4;165
166;4;166
